!4+ABv	  00000000000000000000000017F7E829  EEEE3333444411112222888833334444666633332222DDDDEEEE
   "O!uve	  000000000000000000000000001228D4  77778888000022224444DDDDDDDDEEEE00000000CCCC7777DDDD
   %!$sU(	  0000000000000000000000002E6C821C  2222333377774444555511119999CCCC4444EEEEFFFF11115555
   &5rX|X	  000000000000000000000000399BC288  5555CCCCBBBB99999999DDDD111100001111EEEE7777DDDD9999
   'ic%So	  00000000000000000000000031F06B7D  EEEEBBBBAAAA8888DDDDDDDD777722224444111166664444AAAA
   *0G1Io	  0000000000000000000000003B5E85A1  1111AAAA9999CCCCBBBB111199991111333399991111AAAA6666
   ,(GhT_	  0000000000000000000000002D0172DC  1111CCCC1111DDDDCCCCEEEE9999CCCC8888CCCCFFFF55555555
   0*vYm3	  00000000000000000000000026D61578  DDDD7777AAAAEEEEEEEE6666AAAA2222CCCC5555555522229999
   2C>)8d	  00000000000000000000000026C79E66  444400001111CCCC6666BBBB555577776666CCCC2222AAAABBBB
   8tU30;	  0000000000000000000000003FC4ABD1  77772222DDDD77772222AAAA33336666EEEE88880000FFFF6666
   ;oaD/)	  0000000000000000000000004835614A  CCCCCCCCFFFF22228888FFFFFFFFBBBB22226666999933337777
   PMd32=	  00000000000000000000000003440CC1  FFFFEEEE6666CCCCBBBB999933335555DDDDDDDD777788886666
   ^3CO],	  0000000000000000000000000158C5C5  5555AAAA9999EEEE888822229999CCCCDDDD6666555544442222
   iL;am;	  0000000000000000000000003428F702  3333FFFFBBBB7777222233333333DDDDEEEE22229999DDDDFFFF
   mpZ~AR	  0000000000000000000000004574DADB  4444DDDD1111111144440000DDDD0000FFFF1111999944444444
   yH'x#m	  0000000000000000000000003201D4CD  AAAABBBB77771111DDDD0000FFFF333399997777AAAA7777AAAA
   {52&qh	  00000000000000000000000051CE13E9  FFFF33330000BBBBFFFF1111777711112222EEEE55551111EEEE
   |V1>"G	  00000000000000000000000047846D4F  66667777666688889999AAAA55553333BBBB1111CCCCBBBB0000
  !$)x$[)	  0000000000000000000000003033233D  4444CCCCEEEE66669999999966662222CCCC444488888888AAAA
  !&S3/]]	  00000000000000000000000002145D78  8888BBBBDDDD1111CCCC55556666BBBB1111EEEEDDDD22229999
  !*NXt>o	  0000000000000000000000002A00EE08  2222EEEE777766668888BBBB4444AAAA33331111EEEE55559999
  !+cqLJP	  00000000000000000000000032148131  77778888FFFF4444AAAA4444FFFF7777AAAA0000AAAA99996666
  !,=U#,9	  000000000000000000000000019072E3  33332222FFFFBBBB0000FFFFAAAA666655553333DDDD3333CCCC
  !.*G<W~	  0000000000000000000000002FC516F8  6666CCCCBBBB111144446666BBBB33337777BBBBDDDDAAAA9999
  !0f[ITd	  00000000000000000000000003CAAB4B  9999FFFF555533337777CCCC4444BBBB7777EEEEBBBBDDDD4444
  !64O>Nx	  0000000000000000000000000C297475  BBBB44443333DDDD77771111AAAA8888AAAAAAAA333311112222
  !7h}W4^	  0000000000000000000000001B209AE2  EEEEAAAADDDD11115555DDDD3333DDDD5555333355557777FFFF
  !C3G"Xw	  0000000000000000000000004C4D937A  3333222266663333AAAA5555111199993333BBBB3333CCCC7777
  !CDYuIp	  0000000000000000000000001D0D4CE0  DDDD444400006666BBBB5555FFFFCCCC4444DDDDFFFFAAAA1111
  !F*ykr'	  0000000000000000000000002B7E4320  FFFF3333FFFF4444666644448888FFFF1111EEEE000066661111
  !G&FGQ1	  00000000000000000000000039E42EC5  EEEE4444AAAA99990000EEEEDDDDBBBBCCCCBBBB444444442222
  !Ne7vK@	  00000000000000000000000013E8C262  44440000DDDD7777DDDD8888EEEE444488884444BBBBFFFFFFFF
  !R@DVQF	  000000000000000000000000440E2D93  999988885555FFFF4444999977778888EEEEEEEE77778888CCCC
  !V_&YQd	  000000000000000000000000302E3FA0  AAAA9999888800001111DDDD11111111555555551111EEEE1111
  !Xy-sKA	  00000000000000000000000013297A2D  11116666EEEEDDDD333366660000FFFFAAAA3333EEEE1111AAAA
  !YkXUjJ	  00000000000000000000000038D660B1  CCCCBBBB4444DDDD77779999BBBB6666AAAADDDD777711116666
  !\w/"Qe	  0000000000000000000000001089F5CE  CCCCEEEE999999990000AAAA000022224444FFFF1111EEEE3333
  !f6Suy2	  00000000000000000000000003ABFD84  EEEE555555556666AAAA5555BBBBDDDD0000111166660000DDDD
  !gG>;2(	  0000000000000000000000002402857C  777744440000444488886666DDDD8888CCCC9999000033335555
  !h+j[b`	  0000000000000000000000000AC25361  11118888000055551111AAAABBBBFFFF222233339999EEEE6666
  !h[(>9X	  00000000000000000000000033A8E0F9  BBBBAAAAFFFF22222222AAAAEEEEAAAAAAAAAAAAAAAA8888EEEE
  "1cJ@vR	  000000000000000000000000256AA5E8  9999DDDD0000AAAACCCC88882222EEEE9999FFFF2222FFFF9999
  "7)HiE#	  00000000000000000000000015BC43A1  66660000FFFF5555DDDDFFFFBBBB2222111100003333AAAA6666
  "7SY64H	  0000000000000000000000001D08DF9F  7777CCCC0000444499994444BBBBFFFF44445555888866660000
  ":zW,34	  00000000000000000000000042CA8B89  9999FFFFEEEECCCC88889999DDDD4444FFFFAAAA22227777EEEE
  ">AbAr 	  000000000000000000000000196A2479  9999111199995555BBBBFFFFEEEEBBBB1111222233330000EEEE
  ">z!?Wl	  0000000000000000000000001595E411  FFFFAAAA1111CCCCBBBBFFFFEEEE4444555533332222BBBB6666
  "CgA?\'	  00000000000000000000000031ACBC83  FFFF0000BBBB22220000444499997777FFFFCCCC55559999CCCC
  "Jg$;%^	  0000000000000000000000003208DC94  2222CCCCBBBB22220000CCCCEEEEBBBB999955555555BBBBDDDD
  "Mbi<B 	  00000000000000000000000010C17551  FFFFDDDD44440000FFFF7777BBBBEEEE5555BBBB333377776666
  "Sx.6R+	  00000000000000000000000045BEFA84  AAAA55555555444433335555BBBB22220000FFFF55550000DDDD
  "VSNUE2	  000000000000000000000000176007E4  4444000011116666AAAA5555FFFF3333EEEE333300002222DDDD
  "X<XlWW	  00000000000000000000000006652BCF  888888887777111144444444111144446666BBBBEEEE33330000
  "\#vb5d	  00000000000000000000000032F06CBF  7777BBBB5555EEEE7777EEEEDDDD33337777DDDD333344440000
  "^l"\t3	  000000000000000000000000342F59D8  5555BBBBCCCCAAAA88886666BBBB7777FFFF6666333344449999
  "e6BcSm	  0000000000000000000000003EAF7307  222255553333000033339999555544444444DDDD111177778888
  "f8cGeB	  0000000000000000000000000E6C718C  333388880000EEEE8888DDDD8888BBBB888833334444EEEE5555
  "lTv]8G	  00000000000000000000000013204252  EEEEEEEE44441111AAAA8888BBBB44443333CCCC9999CCCCFFFF
  "uyp0%U	  00000000000000000000000041226DAE  33338888EEEEAAAA5555BBBBAAAAAAAA66669999BBBB88883333
  "yLwp/u	  00000000000000000000000021F410AF  AAAA33330000CCCCFFFF99993333DDDD11110000999955550000
  #!d}p&V	  0000000000000000000000003CDCFBDD  6666999999990000BBBB000066666666CCCC3333EEEEEEEEAAAA
  #$t6mq0	  00000000000000000000000038D6126A  999999999999AAAABBBB5555EEEE0000EEEE2222000099997777
  #%NIpq.	  00000000000000000000000003B36FB9  1111000033334444111166666666AAAAAAAA00001111CCCCEEEE
  #'^cl'~	  00000000000000000000000002EDC5C8  8888AAAA11114444FFFF77773333EEEE44440000FFFF99999999
  #-sZw%4	  00000000000000000000000026986E65  7777DDDD88888888555566664444BBBBEEEE7777FFFFAAAA2222
  #2  gnZ	  0000000000000000000000004B2E080A  99993333FFFFBBBB5555DDDD22226666BBBB6666555577777777
  #S.q1qR	  000000000000000000000000201D7E8A  8888000099996666CCCCAAAA0000BBBBCCCC77778888FFFF7777
